0.000000 47941.789062 57.069874 47998.859375
0.050000 2769.580078 51383.687500 54153.265625
0.100000 2445.366211 38320.699219 40766.066406
0.150000 2208.254150 31472.173828 33680.429688
0.200000 2009.651367 26430.550781 28440.203125
0.250000 1842.952515 23964.613281 25807.566406
0.300000 1690.851807 21605.867188 23296.718750
0.350000 1553.218018 20203.595703 21756.814453
0.400000 1428.095825 19336.007812 20764.103516
0.450000 1307.486938 18423.787109 19731.273438
0.500000 1221.677246 18064.671875 19286.349609
0.550000 1159.626343 17839.949219 18999.576172
0.600000 1116.766357 17696.318359 18813.083984
0.650000 1086.147705 17600.402344 18686.550781
0.700000 1061.897827 17531.603516 18593.501953
0.750000 1040.588257 17476.359375 18516.947266
0.800000 1020.393921 17429.652344 18450.046875
0.850000 1000.566589 17387.025391 18387.591797
0.900000 980.768066 17347.140625 18327.908203
0.950000 960.943115 17308.960938 18269.904297
1.000000 941.084167 17271.861328 18212.945312
1.050000 921.226990 17236.763672 18157.990234
1.100000 901.447021 17203.447266 18104.894531
1.150000 881.835693 17172.054688 18053.890625
1.200000 862.522705 17142.517578 18005.041016
1.250000 843.587891 17115.625000 17959.212891
1.300000 825.178711 17091.416016 17916.593750
1.350000 807.363586 17069.603516 17876.966797
1.400000 790.261719 17050.888672 17841.150391
1.450000 773.915100 17035.070312 17808.986328
1.500000 758.394592 17022.585938 17780.980469
1.550000 743.710815 17012.867188 17756.578125
1.600000 729.823486 17006.347656 17736.171875
1.650000 716.719543 17002.466797 17719.185547
1.700000 704.353210 17002.236328 17706.589844
1.750000 692.656860 17004.876953 17697.533203
1.800000 681.545776 17010.373047 17691.917969
1.850000 670.958374 17018.181641 17689.140625
1.900000 660.796082 17028.375000 17689.171875
1.950000 651.014954 17040.408203 17691.423828
2.000000 641.550049 17054.031250 17695.582031
2.050000 632.378113 17068.912109 17701.291016
2.100000 623.428772 17084.865234 17708.294922
2.150000 614.701355 17101.769531 17716.470703
2.200000 606.153320 17119.660156 17725.812500
2.250000 597.721008 17137.355469 17735.076172
2.300000 589.387146 17156.156250 17745.542969
2.350000 581.151550 17174.923828 17756.076172
